realSum,room_type,person_capacity,business,cleanliness_rating,guest_satisfaction_overall,bedrooms
319.40571321444475,Private,2,0,10.0,99.0,1
1210.3672111171,Apartment,4,0,9.0,87.0,3
540.6228762918005,Apartment,4,0,9.0,89.0,2
1044.6886790242074,Apartment,2,0,10.0,100.0,1
539.6855154313032,Apartment,6,1,10.0,93.0,3
485.5529257375859,Apartment,2,0,10.0,100.0,1
178.0985634944813,Private,2,0,10.0,96.0,1
661.308087080824,Private,4,1,9.0,95.0,2
1572.8915239144192,Private,4,1,9.0,98.0,4
329.4823424647904,Private,2,1,9.0,97.0,1
436.10714034635487,Apartment,2,0,10.0,95.0,0
722.2365430131465,Apartment,4,0,9.0,96.0,1
399.5500667869613,Apartment,4,0,10.0,96.0,2
602.0200126543716,Apartment,2,0,9.0,95.0,1
319.40571321444475,Private,4,0,9.0,96.0,2
817.1443301384951,Apartment,4,0,10.0,89.0,2
439.8565837883439,Apartment,4,0,10.0,100.0,3
546.7157218850327,Apartment,3,0,10.0,100.0,2
1161.1557659409932,Apartment,6,0,9.0,87.0,4
393.4572211937291,Private,2,0,10.0,92.0,1
386.19267452487526,Private,2,0,10.0,96.0,1
540.6228762918005,Apartment,2,0,10.0,100.0,1
614.4400440559605,Apartment,4,0,10.0,99.0,2
196.6114404893024,Private,2,0,9.0,84.0,1
784.1023598059663,Apartment,5,0,8.0,95.0,2
675.6028402034074,Private,4,0,10.0,97.0,1
259.4146181426195,Private,3,0,9.0,92.0,1
467.0400487427648,Private,2,0,10.0,100.0,1
442.66866636983576,Private,2,0,9.0,88.0,1
436.10714034635487,Private,2,0,9.0,94.0,1
473.132894335997,Private,2,0,10.0,99.0,1
371.1949007569189,Apartment,2,0,7.0,74.0,1
298.78377428350484,Apartment,2,0,9.0,89.0,1
143.65055187120663,Private,2,0,8.0,81.0,1
917.9106226419516,Apartment,4,0,10.0,96.0,2
165.67853209289248,Private,2,0,10.0,98.0,1
968.29376889368,Apartment,6,1,10.0,95.0,3
548.1217631757786,Apartment,3,0,10.0,97.0,2
636.7023644927707,Apartment,2,0,10.0,100.0,1
642.5608698708786,Apartment,4,0,10.0,98.0,2
344.2457760176224,Private,2,0,10.0,98.0,1
373.7726431232864,Private,2,0,10.0,98.0,1
737.2343167811028,Apartment,2,0,8.0,92.0,1
194.03369812293488,Private,2,0,10.0,96.0,1
2061.959552878869,Apartment,4,0,9.0,98.0,4
282.8486396550512,Private,2,0,9.0,88.0,1
1130.691537974832,Apartment,4,0,8.0,96.0,3
669.7443348252995,Apartment,2,0,10.0,95.0,1
233.63719447894456,Private,2,0,9.0,97.0,1
636.7023644927707,Apartment,2,0,10.0,98.0,1
552.808567478265,Apartment,4,0,9.0,87.0,2
368.8514986056758,Private,2,0,10.0,99.0,1
855.3417852037588,Apartment,6,1,10.0,100.0,1
675.8371804185317,Apartment,4,1,10.0,100.0,1
243.2451432990416,Private,2,0,9.0,89.0,1
391.8168396878589,Private,2,1,9.0,89.0,0
491.64577133081815,Apartment,2,0,9.0,92.0,2
549.5278044665246,Private,3,1,8.0,83.0,0
422.7497480842688,Private,4,0,9.0,90.0,1
438.9192229278467,Private,2,0,10.0,95.0,1
